id,name,parent,size,wild
1,Animals,,,0.51
2,Actinopteri,1,,0.49
3,Acipenseriformes,2,,0.38
4,Polyodontidae,3,,0.38
5,polyodon,4,,0.38
6,Polyodon spathula,5,8,0.38
7,Syngnathiformes,2,,0.49
8,Syngnathidae,7,,0.49
9,Hippocampus,8,,0.49
10,Hippocampus abdominalis,9,7,0.14
11,Hippocampus algiricus,9,1,1
12,Hippocampus barbouri,9,7,0.14
13,Hippocampus breviceps,9,1,1
14,Hippocampus comes,9,8,0.13
15,Hippocampus erectus,9,5,0.6
16,Hippocampus histrix,9,2,0.5
17,Hippocampus kelloggi,9,3,1
18,Hippocampus kuda,9,27,0.74
19,Hippocampus reidi,9,13,0.15
20,Hippocampus semispinosus,9,4,0
21,Hippocampus spinosissimus,9,4,0.75
22,Hippocampus spp.,9,3,0.67
23,Hippocampus subelongatus,9,3,1
24,Hippocampus trimaculatus,9,2,1
25,Hippocampus whitei,9,2,0.5
26,Hippocampus zosterae,9,1,1
27,Amphibia,1,,0.84
28,Anura,27,,0.84
29,Calyptocephalellidae,28,,0
30,Calyptocephalella,29,,0
31,Calyptocephalella gayi,30,1,0
32,Mantellidae,28,,0.85
33,Mantella,32,,0.85
34,Mantella aurantiaca,33,12,0.58
35,Mantella baroni,33,6,1
36,Mantella betsileo,33,11,0.91
37,Mantella cowanii,33,1,1
38,Mantella crocea,33,2,1
39,Mantella laevigata,33,4,1
40,Mantella madagascariensis,33,8,0.75
41,Mantella manery,33,1,1
42,Mantella milotympanum,33,2,1
43,Mantella nigricans,33,9,1
44,Mantella pulchra,33,1,1
45,Mantella spp.,33,2,1
46,Mantella viridis,33,1,0
47,Anthozoa,1,,0.68
48,Antipatharia,47,,1
49,Myriopathidae,48,,1
50,Cupressopathes,49,,1
51,Cupressopathes spp.,50,1,1
52,Tanacetipathes,49,,1
53,Tanacetipathes barbadensis,52,1,1
54,Tanacetipathes hirta,52,1,1
55,Tanacetipathes tanacetum,52,1,1
56,Tanacetipathes thamnea,52,1,1
57,Schizopathidae,48,,1
58,Parantipathes,57,,1
59,Parantipathes spp.,58,1,1
60,Gorgonacea,47,,0.97
61,Coralliidae,60,,0.97
62,Corallium,61,,0.97
63,Corallium elatius,62,51,0.98
64,Corallium japonicum,62,13,1
65,Corallium konjoi,62,8,0.88
66,Corallium secundum,62,24,0.96
67,Scleractinia,47,,0.66
68,Meandriniidae,67,,1
69,Dendrogyra,68,,1
70,Dendrogyra cylindrus,69,1,1
71,Dichocoenia,68,,1
72,Dichocoenia stokesii,71,1,1
73,Meandrina,68,,1
74,Meandrina maeandrites,73,2,1
75,Merulinidae,67,,0.62
76,Hydnophora,75,,0.65
77,Hydnophora bonsai,76,1,1
78,Hydnophora exesa,76,58,0.97
79,Hydnophora microconos,76,40,1
80,Hydnophora rigida,76,29,0.66
81,Hydnophora spp.,76,68,0.16
82,Merulina,75,,0.58
83,Merulina ampliata,82,107,0.56
