name,wild
Animals,0.51
Actinopteri,0.49
Acipenseriformes,0.38
Polyodontidae,0.38
polyodon,0.38
Polyodon spathula,0.38
Syngnathiformes,0.49
Syngnathidae,0.49
Hippocampus,0.49
Hippocampus abdominalis,0.14
Hippocampus algiricus,1
Hippocampus barbouri,0.14
Hippocampus breviceps,1
Hippocampus comes,0.13
Hippocampus erectus,0.6
Hippocampus histrix,0.5
Hippocampus kelloggi,1
Hippocampus kuda,0.74
Hippocampus reidi,0.15
Hippocampus semispinosus,0
Hippocampus spinosissimus,0.75
Hippocampus spp.,0.67
Hippocampus subelongatus,1
Hippocampus trimaculatus,1
Hippocampus whitei,0.5
Hippocampus zosterae,1
Amphibia,0.84
Anura,0.84
Calyptocephalellidae,0
Calyptocephalella,0
Calyptocephalella gayi,0
Mantellidae,0.85
Mantella,0.85
Mantella aurantiaca,0.58
Mantella baroni,1
Mantella betsileo,0.91
Mantella cowanii,1
Mantella crocea,1
Mantella laevigata,1
Mantella madagascariensis,0.75
Mantella manery,1
Mantella milotympanum,1
Mantella nigricans,1
Mantella pulchra,1
Mantella spp.,1
Mantella viridis,0
Anthozoa,0.68
Antipatharia,1
Myriopathidae,1
Cupressopathes,1
Cupressopathes spp.,1
Tanacetipathes,1
Tanacetipathes barbadensis,1
Tanacetipathes hirta,1
Tanacetipathes tanacetum,1
Tanacetipathes thamnea,1
Schizopathidae,1
Parantipathes,1
Parantipathes spp.,1
Gorgonacea,0.97
Coralliidae,0.97
Corallium,0.97
Corallium elatius,0.98
Corallium japonicum,1
Corallium konjoi,0.88
Corallium secundum,0.96
Scleractinia,0.66
Meandriniidae,1
Dendrogyra,1
Dendrogyra cylindrus,1
Dichocoenia,1
Dichocoenia stokesii,1
Meandrina,1
Meandrina maeandrites,1
Merulinidae,0.62
Hydnophora,0.65
Hydnophora bonsai,1
Hydnophora exesa,0.97
Hydnophora microconos,1
Hydnophora rigida,0.66
Hydnophora spp.,0.16
Merulina,0.58
Merulina ampliata,0.56
Merulina scabricula,0.8
Merulina spp.,1
Mussidae,0.71
Acanthastrea,0.7
Acanthastrea amakusensis,0.86
Acanthastrea bowerbanki,0.93
Acanthastrea echinata,0.88
Acanthastrea hemprichii,0
Acanthastrea hillae,1
Acanthastrea lordhowensis,0.95
Acanthastrea maxima,0.75
Acanthastrea rotundoflora,0
Acanthastrea spp.,0.6
Acanthophyllia,0.96
Acanthophyllia deshayesiana,0.95
Acanthophyllia spp.,1
Australomussa,0.15
Australomussa rowleyensis,0.13
Australomussa spp.,1
Blastomussa,0.59
Blastomussa merleti,0.33
