id,name,parent,size
1,Animals,,
2,Actinopteri,1,
3,Acipenseriformes,2,
4,Polyodontidae,3,
5,polyodon,4,
6,Polyodon spathula,5,8
7,Syngnathiformes,2,
8,Syngnathidae,7,
9,Hippocampus,8,
10,Hippocampus abdominalis,9,7
11,Hippocampus algiricus,9,1
12,Hippocampus barbouri,9,7
13,Hippocampus breviceps,9,1
14,Hippocampus comes,9,8
15,Hippocampus erectus,9,5
16,Hippocampus histrix,9,2
17,Hippocampus kelloggi,9,3
18,Hippocampus kuda,9,27
19,Hippocampus reidi,9,13
20,Hippocampus semispinosus,9,4
21,Hippocampus spinosissimus,9,4
22,Hippocampus spp.,9,3
23,Hippocampus subelongatus,9,3
24,Hippocampus trimaculatus,9,2
25,Hippocampus whitei,9,2
26,Hippocampus zosterae,9,1
27,Amphibia,1,
28,Anura,27,
29,Calyptocephalellidae,28,
30,Calyptocephalella,29,
31,Calyptocephalella gayi,30,1
32,Mantellidae,28,
33,Mantella,32,
34,Mantella aurantiaca,33,12
35,Mantella baroni,33,6
36,Mantella betsileo,33,11
37,Mantella cowanii,33,1
38,Mantella crocea,33,2
39,Mantella laevigata,33,4
40,Mantella madagascariensis,33,8
41,Mantella manery,33,1
42,Mantella milotympanum,33,2
43,Mantella nigricans,33,9
44,Mantella pulchra,33,1
45,Mantella spp.,33,2
46,Mantella viridis,33,1
47,Anthozoa,1,
48,Antipatharia,47,
49,Myriopathidae,48,
50,Cupressopathes,49,
51,Cupressopathes spp.,50,1
52,Tanacetipathes,49,
53,Tanacetipathes barbadensis,52,1
54,Tanacetipathes hirta,52,1
55,Tanacetipathes tanacetum,52,1
56,Tanacetipathes thamnea,52,1
57,Schizopathidae,48,
58,Parantipathes,57,
59,Parantipathes spp.,58,1
60,Gorgonacea,47,
61,Coralliidae,60,
62,Corallium,61,
63,Corallium elatius,62,51
64,Corallium japonicum,62,13
65,Corallium konjoi,62,8
66,Corallium secundum,62,24
67,Scleractinia,47,
68,Meandriniidae,67,
69,Dendrogyra,68,
70,Dendrogyra cylindrus,69,1
71,Dichocoenia,68,
72,Dichocoenia stokesii,71,1
73,Meandrina,68,
74,Meandrina maeandrites,73,2
75,Merulinidae,67,
76,Hydnophora,75,
77,Hydnophora bonsai,76,1
78,Hydnophora exesa,76,58
79,Hydnophora microconos,76,40
80,Hydnophora rigida,76,29
81,Hydnophora spp.,76,68
82,Merulina,75,
83,Merulina ampliata,82,107
84,Merulina scabricula,82,5
85,Merulina spp.,82,2
86,Mussidae,67,
87,Acanthastrea,86,
88,Acanthastrea amakusensis,87,7
89,Acanthastrea bowerbanki,87,14
90,Acanthastrea echinata,87,8
91,Acanthastrea hemprichii,87,2
92,Acanthastrea hillae,87,9
93,Acanthastrea lordhowensis,87,22
94,Acanthastrea maxima,87,4
95,Acanthastrea rotundoflora,87,1
96,Acanthastrea spp.,87,124
97,Acanthophyllia,86,
98,Acanthophyllia deshayesiana,97,44
99,Acanthophyllia spp.,97,1
100,Australomussa,86,
101,Australomussa rowleyensis,100,32
102,Australomussa spp.,100,1
103,Blastomussa,86,
104,Blastomussa merleti,103,30
105,Blastomussa spp.,103,12
106,Blastomussa wellsi,103,98
107,Cynarina,86,
108,Cynarina lacrymalis,107,69
109,Cynarina spp.,107,4
110,Lobophyllia,86,
111,Lobophyllia corymbosa,110,55
112,Lobophyllia diminuta,110,1
113,Lobophyllia hataii,110,1
114,Lobophyllia hemprichii,110,18
115,Lobophyllia robusta,110,3
116,Lobophyllia spp.,110,167
117,Micromussa,86,
118,Micromussa spp.,117,2
119,Mussismilia,86,
120,Mussismilia braziliensis,119,1
121,Mycetophyllia,86,
122,Mycetophyllia aliciae,121,2
123,Scolymia,86,
124,Scolymia australis,123,34
125,Scolymia cubensis,123,1
126,Scolymia lacera,123,1
127,Scolymia spp.,123,49
128,Scolymia vitiensis,123,40
